QA_text,Category
"##Question: 골프보험 알려줘? ##Answer: 골프장에서의 사고를 대상으로, 자동차 보험과는 다르게  골프에 관련된 위험을 포괄적으로 답보하는 보험으로서, 보상하는 손해는 골프의 연습 또는 경기, 지도 중에 타인의 신체에 장해를 입히거나  타인의 재물을 손괴함으로써 생긴 제3자에 대한 손해배상책임, 자기신체손해, 골프용품의 도난 파손 등의 용품손해, 홀인원/알바트로스를 달성한  경우에 관행상 불가피하게 지출해야 하는 축하회 비용 같은 홀인원 비용등 입니다.","장기보험-물건,사물"
"##Question: 고지의무 알려줘 ##Answer: 보험계약의 체결에 있어서 보험계약자 또는 피보험자가 보험자에 대하여 중요한 사실을 고하지 않거나 중요한 사항에 대하여 부실(不實)한 고지를 하여서는 안 된다는 의무입니다." ,"보험용어"
"##Question: 손해보험과 생명보험의 차이 알려줘 ##Answer: 손해보험은 재산상의 손해를 보험의 목적으로 하며 실손 방식으로 보상함. 생명보험은 사람의 생존과 사망을 보험의 목적으로 하며 정액 방식으로 보상함.제3보험은 상해, 질병, 간병과 관련된 상품을 말하며, 생·손보사에서 모두 판매 가능함." ,"보험용어"
"##Question: 골프클럽하우스의 가입업종 알려줘? ##Answer: 골프클럽하우스의 가입업종은 골프클럽하우스를 적용합니다. 골프클럽하우스 건물 및 골프장 구내에 있는 모든 시설에 대하여 적용합니다.","장기보험-물건,사물"
"##Question: 단체보험 가입자의 개인실손 전환 무심사 조건중 10대 중대질병 알려줘? ##Answer: 단체실손 가입자의 개인실손 전환 무심사 조건 중 10대 중대질병 미발생자가 의미하는 바는 다음과 같습니다. ①암 ②백혈병 ③고혈압 ④협심증 ⑤심근경색 ⑥심장판막증 ⑦간경화증 ⑧뇌졸중증(뇌출혈, 뇌경색) ⑨당뇨병 ⑩에이즈(AIDS)및 HIV보균이 미발생한 자","장기보험-대인,사람"
"##Question: 운전면허 미보유 보험가입 어떻게 하는지 알려줘? ##Answer: 피보험자가 등록증상의 소유자이면, 피보험자의 면허여부는 상관 없이 보험가입 가능합니다.","자동차보험"
"##Question: 일장자가 뭐야? ##Answer:  일장자는 일반보험, 장기보험, 자동차보험을 줄여서 말하는 것으로 보험업계 은어입니다." ,"보험용어"
"##Question: 선물이 뭐야? ##Answer: 파생상품의 한 종류로서 품질, 수량, 규격 등이 표준화되어 있는 상품 또는 금융자산을 미리 결정된 가격으로 미래 일정시점에 인도·인수할 것을 약정한 거래를 말한다." ,"증권용어"
"##Question: 손해보험에 대해 알려줘 ##Answer: 손해보험은 보험사고로  인하여 생길 피보험자의 재산상의 손해를 보상하는 것을 목적으로 하는 보험으로 화재보험, 운송보험, 해상보험, 책임보험 등이 이에 속합니다." ,"보험용어"
"##Question: 손해사정에 대해 알려줘 ##Answer:  손해사정은 손해가 보험의  목적에 부합하는지 여부의 조사와 그 손해액의 결정 및 보상금의 지급 등의 업무 입니다." ,"보험용어"
"##Question: 손해율에 대해 알려줘 ##Answer: 손해율은  발생손해액(보험금지급액)이 경과보험료(차기이후에 속하는 보험료를 제외한 수입보험료)에서 차지하는 비중을 말하며, 생명보험회사의 수익성  지표인 위험보험료 대비 사망보험금 비율과 유사한 개념입니다. 손해율은 손해보험회사의 핵심적인 수익성 지표로서 손익 변동원인 및 손해율  관리의 적정성을 판단하는데 유용할 뿐만 아니라, 경영실적 분석과 보험상품의 요율산출에 있어 기초자료로 사용됩니다." ,"보험용어"
"##Question: 화재손해에 대하여 알려줘 ##Answer:   화재보험에서 정의한 화재 손해는 다음과 같습니다. 1. 사고에 따른 직접손해, 2. 사고에 따른 소방손해(화재진압과정에서 발생하는 손해), 3. 사고에 따른 피난손해(피난지에서 5일 동안에 보험의 목적에 생긴 위 제1호 및 제2호의 손해를 포함합니다), 보험의 목적이 주택 및 이에 수용된 가재일 경우에는 폭발, 파열로 입은 손해도 보상합니다." ,"보험용어"
"##Question: 면책금액 알려줘 ##Answer: 일정금액 이하의 작은 손해에 대해서는 계약자 또는 피보험자가 부담할 것을 설정한 금액을 말합니다." ,"보험용어"
"##Question: 면책조항 알려줘 ##Answer: 보험계약에서, 보험금이 지불되지 않는 경우에 대하여 정한것이며 이것을 면책조항이라고 합니다." ,"보험용어"
"##Question: 사망보험에 대해 알려줘 ##Answer:  피보험자의  사망을 보험사고로 하여 보험금을 지급하는 보험을 일반적으로 사망보험이라 합니다. 사망보험에서는 계약한 때부터 일정기간을 보장하는 정기보험과  계약이 성립된 후 피보험자의 일생을 보장하는 종신보험이 있습니다." ,"장기보험-대인,사람"
"##Question: 수재보험 알려줘 ##Answer:   재보험은  보험회사가 위험분산을 위해서 자사에서 인수한 위험의 일부를 보유하고 그 초과분을 다른 보험회사에게 계약에 의해 인수시키는 행위인데  수재보험은 재보험을 인수하는 회사측에서 본 개념 입니다." ,"보험용어"
"##Question: 사망보험에 대하여 알려줘 ##Answer: 피보험자의  사망을 보험사고로 하여 보험금을 지급하는 보험을 일반적으로 사망보험이라 합니다. 사망보험에서는 계약한 때부터 일정기간을 보장하는 정기보험과  계약이 성립된 후 피보험자의 일생을 보장하는 종신보험이 있습니다." ,"장기보험-대인,사람"
"##Question: 질권설정 알려줘 ##Answer: 보험계약의 대상물건이 이재(罹災)했을 경우 보험금청구권을 피보험자가 타인에게 저당잡히는것을 말합니다." ,"보험용어"
"##Question: 골프보험 알려줘 ##Answer: 골프보험은  골프에 관련된 위험을 포괄적으로 답보하는 보험으로서, 보상하는 손해는 골프의 연습 또는 경기, 지도 중에 타인의 신체에 장해를 입히거나  타인의 재물을 손괴함으로써 생긴 제3자에 대한 손해배상책임, 자기신체손해, 골프용품의 도난 파손 등의 용품손해, 홀인원/알바트로스를 달성한  경우에 관행상 불가피하게 지출해야 하는 축하회 비용 같은 홀인원 비용등 입니다." ,"보험용어"
"##Question: 당뇨보험 3무 최저가입플랜 가입가능 상병 알려줘? ##Answer: 유병자의 당뇨보험(당뇨케어)가입이 가능한 3무 최저플랜은 고혈압, 고지혈증, 백내장, 통풍, 신경통, 신체형장애, 다낭성 난소 증후군, 지방간, 불안증, 우울증, 만성피부질환, 하지정맥류, 레이노병, 비만(BMI지수 28이하)이 가입대상 상병입니다.","장기보험-대인,사람"
"##Question: 실손중복설계 인수요청시 필수기재내용 알려줘? ##Answer: 계약자명, 생년월일, 전화번호, 중복실손 회사명, 중복담보 및 금액, 중복사유(해지예정/단체건/소액유지中1), 전화심사요청여부  입니다","장기보험-대인,사람"
"##Question: 단체보험 가입자의 개인실손 전환 조건 알려줘? ##Answer: 18년 12월 1일부터 적용된 단체실손 가입자의 개인실손전환 조건은 다음과 같습니다. 단체보험 5년이상 가입하고 보험기간 공백이 계약당 1개월, 총 3개월 미만자는 단체보험에 가입중인 보험회사에 개인 실손전환을 신청할 수 있습니다. ","장기보험-대인,사람"
"##Question: 단체보험 가입자의 개인실손 전환 무심사 조건 알려줘? ##Answer: 18년 12월 1일부터 적용된 단체실손 가입자의 개인실손전환 조건은 다음과 같습니다. 단체보험 5년이상 가입하고 보험기간 공백이 계약당 1개월, 총 3개월 미만자는 단체보험에 가입중인 보험회사에 개인 실손전환을 신청할 수 있습니다. 또한 무심사 조건은 다음과 같습니다. ①단체보험에서 실손보험금 200만원 이하, 10대 중대질병 미발생자, ②기 가입중인 보장종목, 보험가입금액 한도내 계약 전환건무심사조건 ①, ②를 충족하지 못한 경우 단독 실손보험으로 안내","장기보험-대인,사람"
"##Question: 실손중복동의서 스캔하는 경우 알려줘? ##Answer: 계약자/피보험자가 미성년자 일경우, 신계약이 법인계약자(단체건)일 경우입니다","장기보험-대인,사람"
"##Question: 실손중복 전화심사 TI하는 경우 알려줘? ##Answer: ①타사 기계약 1개월내 해지예정 또는 단체건②당사 기계약 단체건③당/타사 기계약 1천만원이하 유지예정(단, 09년 10월 이전계약 1건에 한해서)","장기보험-대인,사람"
"##Question: 진사종류 알려줘? ##Answer: 삼성화재의 진사종류 입니다","장기보험-대인,사람"
"##Question: 무진사 조건 알려줘? ##Answer: 삼성화재의 진사조건을 면제받을 수 있는 무진사 조건입니다.","장기보험-대인,사람"
"##Question: 사전조회대상 실손중복 담보 알려줘? ##Answer: 18년 12월 6일부터 적용된 사전조회 대상 실손담보는 장기보험 內 총 14개로 해당담보는 원칙적으로 중복가입이 제한됩니다.자동차사고벌금, 자전거사고벌금, 화재사고벌금, 과실치사상벌금, 변호사선임비용, 교통하고처리지원금, 일상배상책임(가족, 자녀배상 포함), 민사소송법률, 홀인원비용, 가전제품고장수리비용","장기보험-대인,사람"
"##Question: 홀인원 알바트로스 업계한도 알려줘? ##Answer: 홀인원, 알바트로스 담보의 업계 한도는 500만원입니다.","장기보험-대인,사람"
"##Question: 실손형보험 다수가입에 대한 가입자 동의서 찾아줘? ##Answer: 유사 자동차정비업자 대상의 차량정비업자 배상책임 보험가입신청서입니다." ,"장기보험-대인,사람"
"##Question: 차량정비업자 배상책임 보험가입 신청서 찾아줘? ##Answer: 유사 자동차정비업자 대상의 차량정비업자 배상책임 보험가입신청서입니다." ,"장기보험-대인,사람"
"##Question: 재물보험 서베이 신청서 찾아줘? ##Answer: 재물보험 서베이 신청서입니다." ,"장기보험-대인,사람"
"##Question: 재물보험 체크리스트 찾아줘? ##Answer: 재물보험 체크리스트입니다." ,"장기보험-대인,사람"
"##Question: 직업 및 운전차종 확인서 찾아줘? ##Answer: 직업 및 운전차종 확인서입니다.","장기보험-대인,사람"
"##Question: 단체 일괄고지 확인서 찾아줘? ##Answer: 단체 일괄고지 확인서입니다.","장기보험-대인,사람"
